entry_time,exit_time,parking_time,cost,paid,number_free_spaces,plate
2024-06-18 23:49,2024-06-18 23:51,0d 0h 1m,1.00,True,50,KE3198AE
2024-06-18 23:57,2024-06-19 00:16,0d 0h 19m,16.50,True,50,KE3198AE
